,Month,Avg pm2.5_18,Avg AQI_18,Max pm2.5_18,Max AQI_18,Min pm2.5_18,Min AQI_18,Avg pm2.5_19,Avg AQI_19,Max pm2.5_19,Max AQI_19,Min pm2.5_19,Min AQI_19,Avg pm2.5_20,Avg AQI_20,Max pm2.5_20,Max AQI_20,Min pm2.5_20,Min AQI_20
Wuhan,1,179.46666666666667,231.72,255.0,305.5,117.0,182.7,180.16666666666663,232.17333333333332,248.0,297.6,116.0,182.2,146.0,203.72333333333333,194.0,244.1,70.0,158.5
Wuhan,2,155.78571428571428,210.5357142857143,205.0,255.0,82.0,164.7,153.55555555555554,208.06666666666663,195.0,245.1,78.0,162.6,122.6896551724138,187.77586206896547,184.0,234.2,66.0,156.4
Wuhan,3,142.58064516129033,198.24838709677414,175.0,225.3,95.0,171.4,145.1290322580645,200.27419354838702,185.0,235.2,99.0,173.4,119.87096774193549,184.50967741935483,157.0,207.4,59.0,152.8
Wuhan,4,146.93333333333334,203.30666666666667,227.0,276.8,79.0,163.1,126.0,187.82333333333332,161.0,211.4,65.0,155.9,113.1,180.3,156.0,206.5,47.0,129.3
Wuhan,5,120.67741935483869,185.4548387096774,166.0,216.4,66.0,156.4,125.51612903225808,187.78387096774188,162.0,212.4,64.0,155.4,118.22580645161291,183.49354838709684,158.0,208.4,72.0,159.5
Wuhan,6,113.44827586206895,181.16896551724133,158.0,208.4,67.0,156.9,111.10344827586206,179.67586206896544,148.0,198.7,57.0,151.8,84.1,165.75000000000003,133.0,191.0,56.0,151.3
Wuhan,7,97.75,172.14583333333337,132.0,190.5,48.0,131.8,102.54166666666669,175.26250000000005,138.0,193.6,74.0,160.5,78.83333333333333,157.3708333333333,145.0,197.2,29.0,86.5
Rome,1,47.8,120.49999999999996,87.0,167.2,17.0,61.3,46.55172413793103,121.3206896551724,91.0,169.3,21.0,69.7,66.66666666666667,146.51000000000005,97.0,172.4,25.0,78.1
Rome,2,45.25,118.86428571428571,87.0,167.2,25.0,78.1,52.25925925925926,125.41481481481482,95.0,171.4,13.0,52.9,50.30769230769231,130.8,82.0,164.7,17.0,61.3
Rome,3,35.451612903225815,100.21935483870968,72.0,159.5,13.0,52.9,44.6551724137931,122.22413793103445,68.0,157.4,25.0,78.1,47.4,120.94666666666666,85.0,166.2,17.0,61.3
Rome,4,45.86666666666667,124.25666666666667,72.0,159.5,21.0,69.7,46.137931034482754,121.09310344827587,82.0,164.7,17.0,61.3,49.5,127.05384615384615,78.0,162.6,17.0,61.3
